ObservationDate,Shorthand,From,To,Price
13/01/2009,Q3_13,01/07/2013,30/09/2013,0.5695
13/01/2009,Q4_13,01/10/2013,31/12/2013,0.653
13/01/2009,Q1_14,01/01/2014,31/03/2014,0.731
13/01/2009,Q2_14,01/04/2014,30/06/2014,0.6
14/01/2009,Q2_09,01/04/2009,30/06/2009,0.4805
14/01/2009,Q3_09,01/07/2009,30/09/2009,0.4595
14/01/2009,Q4_09,01/10/2009,31/12/2009,0.581
14/01/2009,Q1_10,01/01/2010,31/03/2010,0.649
14/01/2009,Q2_10,01/04/2010,30/06/2010,0.5365
14/01/2009,Q3_10,01/07/2010,30/09/2010,0.5135
14/01/2009,Q4_10,01/10/2010,31/12/2010,0.6085
14/01/2009,Q1_11,01/01/2011,31/03/2011,0.6815
14/01/2009,Q2_11,01/04/2011,30/06/2011,0.5615
14/01/2009,Q3_11,01/07/2011,30/09/2011,0.5385
14/01/2009,Q4_11,01/10/2011,31/12/2011,0.6515
14/01/2009,Q1_12,01/01/2012,31/03/2012,0.7275
14/01/2009,Q2_12,01/04/2012,30/06/2012,0.591
14/01/2009,Q3_12,01/07/2012,30/09/2012,0.568
14/01/2009,Q4_12,01/10/2012,31/12/2012,0.6705
14/01/2009,Q1_13,01/01/2013,31/03/2013,0.7485
14/01/2009,Q2_13,01/04/2013,30/06/2013,0.6035
14/01/2009,Q3_13,01/07/2013,30/09/2013,0.5805
14/01/2009,Q4_13,01/10/2013,31/12/2013,0.681
14/01/2009,Q1_14,01/01/2014,31/03/2014,0.759
14/01/2009,Q2_14,01/04/2014,30/06/2014,0.6115
15/01/2009,Q2_09,01/04/2009,30/06/2009,0.491
15/01/2009,Q3_09,01/07/2009,30/09/2009,0.469
15/01/2009,Q4_09,01/10/2009,31/12/2009,0.581
15/01/2009,Q1_10,01/01/2010,31/03/2010,0.649
15/01/2009,Q2_10,01/04/2010,30/06/2010,0.529
15/01/2009,Q3_10,01/07/2010,30/09/2010,0.506
15/01/2009,Q4_10,01/10/2010,31/12/2010,0.6135
15/01/2009,Q1_11,01/01/2011,31/03/2011,0.6865
15/01/2009,Q2_11,01/04/2011,30/06/2011,0.563
15/01/2009,Q3_11,01/07/2011,30/09/2011,0.54
15/01/2009,Q4_11,01/10/2011,31/12/2011,0.6545
15/01/2009,Q1_12,01/01/2012,31/03/2012,0.7305
15/01/2009,Q2_12,01/04/2012,30/06/2012,0.592
